name,name_hindi,category,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,potassium_mg,source
Paarai,,IFCT2017,100,321.3,75.77,1.84,1.21,,,,IFCT2017_Complete_OCR
Padayappa,,IFCT2017,100,330.8,79.18,0.69,1.26,,,,IFCT2017_Complete_OCR
Pali kora,,IFCT2017,100,330.8,78.63,1.81,1.0,,,,IFCT2017_Complete_OCR
Pandukopa,,IFCT2017,100,322.8,77.46,0.65,1.15,,,,IFCT2017_Complete_OCR
Parrot fish,,IFCT2017,100,322.2,76.84,0.57,1.4,,,,IFCT2017_Complete_OCR
Perinkilichai,,IFCT2017,100,670.5,78.33,87.0,1.02,,,,IFCT2017_Complete_OCR
Piranha,,IFCT2017,100,334.7,76.15,5.43,0.93,,,,IFCT2017_Complete_OCR
Pomfret snub nose,,IFCT2017,100,324.7,77.81,0.46,1.29,,,,IFCT2017_Complete_OCR
Pomfret white,,IFCT2017,100,333.2,75.91,5.12,1.01,,,,IFCT2017_Complete_OCR
Pranel,,IFCT2017,100,332.6,79.54,1.89,0.76,,,,IFCT2017_Complete_OCR
Puli paarai,,IFCT2017,100,320.9,75.99,1.55,1.19,,,,IFCT2017_Complete_OCR
Rani,,IFCT2017,100,329.2,78.55,1.49,1.01,,,,IFCT2017_Complete_OCR
Red snapper,,IFCT2017,100,321.8,76.28,1.34,1.26,,,,IFCT2017_Complete_OCR
Red snapper small,,IFCT2017,100,201.9,1.0,1.1,21.5,2.3,,,IFCT2017_Complete_OCR
Sadaya,,IFCT2017,100,195.4,1.0,1.32,20.68,2.97,,,IFCT2017_Complete_OCR
Sangada,,IFCT2017,100,191.4,1.0,1.26,20.26,,,,IFCT2017_Complete_OCR
Sankata paarai,,IFCT2017,100,205.6,1.0,1.18,21.87,1.68,,,IFCT2017_Complete_OCR
Sardine,,IFCT2017,100,168.6,1.0,0.84,17.91,8.99,,,IFCT2017_Complete_OCR
Shark,,IFCT2017,100,206.7,2.0,1.08,21.6,0.83,,,IFCT2017_Complete_OCR
Shark hammer head,,IFCT2017,100,218.3,1.0,0.92,23.4,0.8,,,IFCT2017_Complete_OCR
Shark spotted,,IFCT2017,100,196.7,1.0,1.04,20.95,0.75,,,IFCT2017_Complete_OCR
Silan,,IFCT2017,100,516.5,1.0,77.0,22.72,6.68,,,IFCT2017_Complete_OCR
Silk fish,,IFCT2017,100,194.0,1.0,1.05,20.65,1.53,,,IFCT2017_Complete_OCR
Sole fish,,IFCT2017,100,179.7,1.0,1.06,19.05,,,,IFCT2017_Complete_OCR
Tarlava,,IFCT2017,100,208.0,2.0,1.14,21.72,1.2,,,IFCT2017_Complete_OCR
Tholam,,IFCT2017,100,199.3,2.0,1.06,20.78,2.13,,,IFCT2017_Complete_OCR
Tilapia,,IFCT2017,100,175.0,1.0,1.18,18.48,1.08,,,IFCT2017_Complete_OCR
Tuna striped,,IFCT2017,100,199.0,1.0,0.87,21.28,,,,IFCT2017_Complete_OCR
Valava,,IFCT2017,100,205.3,1.0,1.27,21.8,1.06,,,IFCT2017_Complete_OCR
