name,name_hindi,category,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,potassium_mg,source
Piranha,,IFCT_Extracted,100,334.7,76.15,5.43,0.93,,,,IFCT2017_Complete_OCR
"Pomfret, snub nose",,IFCT_Extracted,100,324.7,77.81,0.46,1.29,,,,IFCT2017_Complete_OCR
"Pomfret, white",,IFCT_Extracted,100,333.2,75.91,5.12,1.01,,,,IFCT2017_Complete_OCR
Pranel,,IFCT_Extracted,100,332.6,79.54,1.89,0.76,,,,IFCT2017_Complete_OCR
Puli paarai,,IFCT_Extracted,100,320.9,75.99,1.55,1.19,,,,IFCT2017_Complete_OCR
Rani,,IFCT_Extracted,100,329.2,78.55,1.49,1.01,,,,IFCT2017_Complete_OCR
Red snapper,,IFCT_Extracted,100,321.8,76.28,1.34,1.26,,,,IFCT2017_Complete_OCR
"Red snapper, small",,IFCT_Extracted,100,201.9,1.0,1.1,21.5,2.3,,,IFCT2017_Complete_OCR
Sadaya,,IFCT_Extracted,100,195.4,1.0,1.32,20.68,2.97,,,IFCT2017_Complete_OCR
Sangada,,IFCT_Extracted,100,191.4,1.0,1.26,20.26,,,,IFCT2017_Complete_OCR
Sankata paarai,,IFCT_Extracted,100,205.6,1.0,1.18,21.87,1.68,,,IFCT2017_Complete_OCR
Sardine,,IFCT_Extracted,100,168.6,1.0,0.84,17.91,8.99,,,IFCT2017_Complete_OCR
Shark,,IFCT_Extracted,100,206.7,2.0,1.08,21.6,0.83,,,IFCT2017_Complete_OCR
"Shark, hammer head",,IFCT_Extracted,100,218.3,1.0,0.92,23.4,0.8,,,IFCT2017_Complete_OCR
"Shark, spotted",,IFCT_Extracted,100,196.7,1.0,1.04,20.95,0.75,,,IFCT2017_Complete_OCR
Silan,,IFCT_Extracted,100,516.5,1.0,77.0,22.72,6.68,,,IFCT2017_Complete_OCR
Silk fish,,IFCT_Extracted,100,194.0,1.0,1.05,20.65,1.53,,,IFCT2017_Complete_OCR
Sole fish,,IFCT_Extracted,100,179.7,1.0,1.06,19.05,,,,IFCT2017_Complete_OCR
Tarlava,,IFCT_Extracted,100,208.0,2.0,1.14,21.72,1.2,,,IFCT2017_Complete_OCR
Tholam,,IFCT_Extracted,100,199.3,2.0,1.06,20.78,2.13,,,IFCT2017_Complete_OCR
Tilapia,,IFCT_Extracted,100,175.0,1.0,1.18,18.48,1.08,,,IFCT2017_Complete_OCR
"Tuna, striped",,IFCT_Extracted,100,199.0,1.0,0.87,21.28,,,,IFCT2017_Complete_OCR
Valava,,IFCT_Extracted,100,205.3,1.0,1.27,21.8,1.06,,,IFCT2017_Complete_OCR
Vanjaram,,IFCT_Extracted,100,213.8,2.0,1.33,22.28,5.18,,,IFCT2017_Complete_OCR
Vora,,IFCT_Extracted,100,327.7,76.94,2.14,1.26,,,,IFCT2017_Complete_OCR
Whale shark,,IFCT_Extracted,100,327.0,77.59,0.82,1.48,,,,IFCT2017_Complete_OCR
Xiphinis,,IFCT_Extracted,100,330.8,79.22,0.88,1.15,,,,IFCT2017_Complete_OCR
"Eggs, Cat fish",,IFCT_Extracted,100,312.6,69.34,5.28,1.57,,,,IFCT2017_Complete_OCR
"Crab, sea",,IFCT_Extracted,100,329.4,79.67,0.6,0.92,,,,IFCT2017_Complete_OCR
"Lobster, brown",,IFCT_Extracted,100,339.8,81.48,0.56,1.29,,,,IFCT2017_Complete_OCR
"Lobster, king size",,IFCT_Extracted,100,632.8,77.77,78.0,1.08,,,,IFCT2017_Complete_OCR
Mud crab,,IFCT_Extracted,100,358.0,83.1,0.55,2.6,,,,IFCT2017_Complete_OCR
"Tiger prawns, brown",,IFCT_Extracted,100,340.3,82.41,0.56,0.94,,,,IFCT2017_Complete_OCR
"Tiger Prawns, orange",,IFCT_Extracted,100,336.4,81.48,0.74,0.83,,,,IFCT2017_Complete_OCR
"Clam, green shell",,IFCT_Extracted,100,346.2,80.07,0.98,2.44,,,,IFCT2017_Complete_OCR
"Clam, white shell, ribbed",,IFCT_Extracted,100,334.1,80.27,1.34,0.85,,,,IFCT2017_Complete_OCR
"Squid, black",,IFCT_Extracted,100,335.6,80.59,1.07,0.99,,,,IFCT2017_Complete_OCR
"Squid, hard shell",,IFCT_Extracted,100,1000.8,80.52,0.93,75.0,,,,IFCT2017_Complete_OCR
"Squid, white, small",,IFCT_Extracted,100,332.8,79.38,1.15,1.19,,,,IFCT2017_Complete_OCR
